M, Cohen, Frédéric, M9, 5639
M, Peter, Christian, M9, 8401
M, Tavernier, Bernard, M6, 7590
M, Santoni, Alain, M1, 5555
M, Declercq, Georges, M5, 9681
M, Baud, David, M8, 7469
M, Levesque, Guy, M5, 7974
M, Duflot, Cédric, ELITE_1, 5920
M, Grignon, Kevin, M6, 9392
M, Taupin, Jean-Luc, M1, 7505
M, Pierron, Jean-Michel, M2, 9864
M, Duvivier, Fabrice, M7, 4771
M, Legrand, Charles, M1, 3655
M, Mathis, Joël, ELITE_1, 7438
M, Mille, Maurice, M2, 4963
M, Durant, Maurice, ELITE_1, 3721
M, Giry, Bruno, M7, 8823
M, Allart, Adrien, ELITE_1, 9975
M, Perez, Alain, M8, 3962
M, Bonnot, Yves, M9, 9337
M, Marot, Maxime, M5, 8088
M, Leblanc, Francis, M1, 9198
M, Blais, Joël, M4, 4306
M, Henaff, Claude, ELITE_2, 5840
M, Baudin, François, M7, 6928
M, Berry, Yves, M4, 3857
M, Lescure, Raymond, M3, 8837
M, Le, Jonathan, M4, 9214
M, Pinson, Richard, M3, 7697
M, Poirier, Florian, M6, 6629
M, Chartier, Sébastien, M2, 5524
M, Barbet, Olivier, M9, 5821
M, Perret, Guy, M2, 9719
M, Delplanque, François, ELITE_1, 4493
M, Bourcier, Michel, M2, 4820
M, Ruiz, René, M7, 4632
M, Busson, Robert, ELITE_1, 10337
M, Sellier, Jean-Paul, M1, 9502
M, Gressier, Richard, M8, 7670
M, Kohler, Albert, M7, 6905
M, Fontaine, Xavier, M1, 7098
M, Laborde, Thomas, M1, 8566
M, Parisot, Emile, ELITE_2, 5541
M, Michelet, Philippe, M7, 8923
M, Hery, Dominique, ELITE_1, 9508
M, Delcroix, Bruno, M1, 10773
M, Goetz, Sylvain, M6, 4055
M, Harel, Antoine, M3, 6030
M, Fontaine, Jean-François, M8, 9460
M, Gayet, Roger, M6, 7989
M, Marie, Jérôme, M1, 9148
M, Faivre, Gérard, M6, 9352
M, Camus, Florian, M7, 7293
M, Decroix, Nicolas, M2, 8272
M, Denys, Olivier, M7, 10337
M, Molinier, Damien, M3, 6599
M, Raymond, Cyril, M5, 5472
M, Bordas, Joël, M5, 7934
M, Maury, Denis, M5, 9656
M, Quere, Jean-Luc, M1, 3720
M, Bergeret, Jean-Claude, M3, 10373
M, Olive, Albert, M4, 5522
M, Duez, Jérémy, M6, 7745
M, Santos, Fabrice, ELITE_2, 6603
M, Burel, Guillaume, M6, 3787
M, Jaffre, René, M1, 4477
M, Couret, Daniel, M6, 5816
M, Letellier, Mickaël, M1, 6955
M, Joly, Vincent, M9, 4589
M, Lefrancois, Robert, M3, 9590
M, Gonzalez, Raymond, M9, 5040
M, Salmon, Marc, M4, 3773
M, Guy, Hervé, M7, 7699
M, Pastor, Claude, M4, 6622
M, Philibert, Jérôme, ELITE_1, 9741
M, Cros, Richard, M7, 7427
M, Lebreton, Emmanuel, ELITE_2, 10228
M, Saillard, Didier, M3, 4624
M, Lucas, Michel, M5, 4719
M, Tran, Roland, M6, 5310
M, Ducrot, Damien, ELITE_2, 5347
